target_id,input_tokens,output_tokens,latency,success,pred_id,answer
1,1185,6,1.75,1,1,go_near(1)
2,1179,6,0.24,1,2,go_near(2)
3,1179,6,0.25,1,3,go_near(3)
4,1185,6,0.25,1,4,go_near(4)
5,1189,6,0.25,1,5,go_near(5)
6,1181,6,0.25,1,6,go_near(6)
7,1180,6,0.23,1,7,go_near(7)
8,1178,6,0.25,1,8,go_near(8)
9,1180,6,0.24,1,9,go_near(9)
10,1181,7,0.27,1,10,go_near(10)
11,1187,7,0.27,1,11,go_near(11)
12,1180,7,0.27,1,12,go_near(12)
13,1181,7,0.27,1,13,go_near(13)
14,1180,7,0.27,1,14,go_near(14)
15,1179,7,0.27,1,15,go_near(15)
